date,rider_id,route_id,menu_type,backup_route,total_deliveries,completed_deliveries,cancelled_deliveries,ontime_deliveries,delayed_deliveries,uncontactable_customers,total_customers,total_meal,total_meal_revenue,delay_min_per_drop,scheduled_start_time,actual_start_time,first_customer_arrived_time,scheduled_last_delivered_time,actual_last_delivered_time,avg_rider_rating,avg_service_mins
01 Apr 2019,Rider 34,5ca1d4495998cc462beafbf0,Dinner,N,6,6,0,1,5,0,6,11,2532.2,16,5:16 PM,5:25 PM,5:43 PM,6:30 PM,6:55 PM,4,4.53
01 Apr 2019,Rider 73,5ca1d4495998cc462beafbe7,Dinner,N,5,5,0,5,0,1,5,8,1178.4,,5:16 PM,5:25 PM,5:44 PM,6:30 PM,6:27 PM,5,3.5
01 Apr 2019,Rider 9,5ca1d4495998cc462beafbe8,Dinner,N,4,4,0,2,2,0,4,5,542.5,23,5:16 PM,5:26 PM,5:55 PM,6:30 PM,6:55 PM,3,4.53
01 Apr 2019,Rider 26,5ca1d4485998cc462beafbe1,Dinner,N,6,6,0,2,4,1,6,13,1065.6,25,5:16 PM,5:26 PM,5:57 PM,6:30 PM,7:03 PM,4.43,4.86
01 Apr 2019,Rider 79,5ca1d4485998cc462beafbdf,Dinner,N,5,4,1,0,4,0,5,8,2102,32,5:17 PM,5:26 PM,5:46 PM,6:30 PM,7:43 PM,5,3.99
01 Apr 2019,Rider 72,5ca1d4485998cc462beafbde,Dinner,N,6,6,0,6,0,0,6,8,1146.4,,5:17 PM,5:29 PM,5:39 PM,6:30 PM,6:27 PM,4.67,3.05
01 Apr 2019,Rider 42,5ca1d4495998cc462beafbeb,Dinner,Y,2,2,0,0,2,0,2,2,1010.8,19,5:17 PM,5:32 PM,5:44 PM,6:30 PM,6:20 PM,5,5.98
01 Apr 2019,Rider 135,5ca1d4485998cc462beafbdc,Dinner,N,5,5,0,4,1,2,5,7,16519.9,22,5:17 PM,5:32 PM,5:43 PM,6:30 PM,6:40 PM,4,4.21
01 Apr 2019,Rider 90,5ca1da940a59ea4a7ab37946,Dinner,N,9,8,1,1,7,0,9,31,89.6,31,5:32 PM,5:34 PM,6:01 PM,5:30 PM,7:51 PM,3,8.91
01 Apr 2019,Rider 50,5ca1e2f025bf077e8119d628,Dinner,Y,2,2,0,0,2,0,2,2,115.8,21,6:07 PM,6:07 PM,6:36 PM,6:30 PM,6:51 PM,4,2.51
